"","jaar","geo","gdp","gas"
"257","2008","EE",12600,15
"258","2008","EL",22600,12.2
"259","2008","ES",24400,9.2
"260","2008","FI",37300,13.8
"261","2008","FR",31300,8.5
"262","2008","HR",11500,7.1
"263","2008","HU",10500,7.2
"264","2008","IE",38500,15.6
"265","2008","IS",35900,18
"266","2008","IT",28200,9.5
"267","2008","LT",10100,7.7
"268","2008","LU",81900,27.5
"269","2008","LV",9900,5.6
"270","2008","MT",16000,8.4
"271","2008","NL",39800,13.3
"272","2008","NO",68700,11.8
"273","2008","PL",8900,10.7
"274","2008","PT",17200,7.6
"275","2008","RO",6700,7.2
"276","2008","SE",39900,7.1
"277","2008","SI",19200,10.7
"278","2008","SK",12600,9.3
"279","2008","UK",30700,11.1
"280","2009","AT",34800,9.8
"281","2009","BE",32900,12.1
"282","2009","BG",5000,7.8
"283","2009","CH",55100,7.3
"284","2009","CY",23600,13.1
"285","2009","CZ",14600,13.3
"286","2009","DE",30800,11.4
"287","2009","DK",43200,11.8
"288","2009","EE",10800,12.6
"289","2009","EL",21500,11.5
"290","2009","ES",23300,8.2
"291","2009","FI",34000,13
"292","2009","FR",30300,8
"293","2009","HR",10600,6.7
"294","2009","HU",9800,6.6
"295","2009","IE",36300,14.1
"296","2009","IS",33500,16.7
"297","2009","IT",26500,8.5
"298","2009","LT",8700,6.3
"299","2009","LU",76900,25.8
"300","2009","LV",8600,5.4
"301","2009","MT",15500,7.8
"302","2009","NL",38200,12.8
"303","2009","NO",66600,11.1
"304","2009","PL",9100,10.2
"305","2009","PT",16700,7.2
"306","2009","RO",6400,6.3
"307","2009","SE",37500,6.5
"308","2009","SI",17500,9.7
"309","2009","SK",11900,8.4
"310","2009","UK",29200,10.1
"311","2010","AT",35400,10.4
"312","2010","BE",33500,12.6
"313","2010","BG",5100,8.3
"314","2010","CH",56100,7.5
"315","2010","CY",23300,12.4
"316","2010","CZ",14900,13.5
"317","2010","DE",32100,11.8
"318","2010","DK",43800,11.9
"319","2010","EE",11000,16
"320","2010","EL",20300,10.9
"321","2010","ES",23200,7.9
"322","2010","FI",34900,14.4
"323","2010","FR",30700,8.1
"324","2010","HR",10500,6.6
"325","2010","HU",9900,6.6
"326","2010","IE",36800,13.9
"327","2010","IS",32500,16.5
"328","2010","IT",26800,8.7
"329","2010","LT",9000,6.7
"330","2010","LU",79200,26.5
"331","2010","LV",8500,6.1
"332","2010","MT",15900,7.9
"333","2010","NL",38500,13.5
"334","2010","NO",66300,11.5
"335","2010","PL",9400,10.7
"336","2010","PT",17000,6.9
"337","2010","RO",6200,6.1
"338","2010","SE",39400,7.1
"339","2010","SI",17700,9.6
"340","2010","SK",12400,8.6
"341","2010","UK",29500,10.3
"342","2011","AT",36300,10.1
"343","2011","BE",33800,11.5
"344","2011","BG",5300,9
"345","2011","CH",56700,6.9
"346","2011","CY",22800,11.7
"347","2011","CZ",15200,13.3
"348","2011","DE",33300,11.8
"349","2011","DK",44200,10.9
"350","2011","EE",11900,16
"351","2011","EL",18500,10.6
"352","2011","ES",22900,7.9
"353","2011","FI",35600,12.9
"354","2011","FR",31200,7.7
"355","2011","HR",10500,6.5
"356","2011","HU",10100,6.5
"357","2011","IE",38000,12.9
"358","2011","IS",33000,15.8
"359","2011","IT",26900,8.4
"360","2011","LT",9800,7.1
"361","2011","LU",79300,25.5
"362","2011","LV",9200,5.8
"363","2011","MT",16100,8.1
"364","2011","NL",38900,12.6
"365","2011","NO",66100,11.2
"366","2011","PL",9900,10.7
"367","2011","PT",16700,6.8
"368","2011","RO",6300,6.4
"369","2011","SE",40100,6.6
"370","2011","SI",17800,9.6
"371","2011","SK",12900,8.4
"372","2011","UK",29700,9.4
"373","2012","AT",36400,9.7
"374","2012","BE",33700,11.1
"375","2012","BG",5300,8.4
"376","2012","CH",56700,7
"377","2012","CY",21800,10.9
"378","2012","CZ",15100,12.9
"379","2012","DE",33400,11.8
"380","2012","DK",44200,10
"381","2012","EE",12500,15.3
"382","2012","EL",17200,10.4
"383","2012","ES",22200,7.7
"384","2012","FI",34900,11.9
"385","2012","FR",31200,7.7
"386","2012","HR",10300,6.1
"387","2012","HU",10000,6.1
"388","2012","IE",37900,12.9
"389","2012","IS",33300,15.9
"390","2012","IT",26000,8.1
"391","2012","LT",10300,7.2
"392","2012","LU",77200,24.2
"393","2012","LV",9700,5.8
"394","2012","MT",16300,8.4
"395","2012","NL",38300,12.2
"396","2012","NO",67000,11
"397","2012","PL",10000,10.5
"398","2012","PT",16100,6.6
"399","2012","RO",6500,6.2
"400","2012","SE",39700,6.2
"401","2012","SI",17300,9.3
"402","2012","SK",13100,8
"403","2012","UK",30000,9.6
"404","2013","AT",36200,9.7
"405","2013","BE",33600,11.1
"406","2013","BG",5400,7.7
"407","2013","CH",57000,7.1
"408","2013","CY",20600,10
"409","2013","CZ",15000,12.4
"410","2013","DE",33500,12
"411","2013","DK",44400,10.3
"412","2013","EE",12800,16.6
"413","2013","EL",16800,9.6
"414","2013","ES",21900,7.2
"415","2013","FI",34500,12
"416","2013","FR",31200,7.6
"417","2013","HR",10300,5.9
"418","2013","HU",10200,5.8
"419","2013","IE",38200,12.9
"420","2013","IS",34300,15.9
"421","2013","IT",25400,7.5
"422","2013","LT",10800,6.8
"423","2013","LU",78000,22.7
"424","2013","LV",10000,5.8
"425","2013","MT",16800,7.5
"426","2013","NL",38200,12.2
"427","2013","NO",66900,10.8
"428","2013","PL",10200,10.4
"429","2013","PT",16000,6.5
"430","2013","RO",6800,5.8
"431","2013","SE",39900,6
"432","2013","SI",17000,9
"433","2013","SK",13200,7.9
"434","2013","UK",30400,9.3
"435","2014","AT",36100,9.2
"436","2014","BE",33800,10.5
"437","2014","BG",5500,8.2
"438","2014","CH",57700,6.5
"439","2014","CY",20500,10.6
"440","2014","CZ",15400,12.2
"441","2014","DE",34100,11.4
"442","2014","DK",44900,9.5
"443","2014","EE",13200,16.1
"444","2014","EL",17000,9.4
"445","2014","ES",22300,7.3
"446","2014","FI",34200,11.1
"447","2014","FR",31300,7.1
"448","2014","HR",10300,5.7
"449","2014","HU",10700,5.9
"450","2014","IE",41300,12.8
"451","2014","IS",34600,16
"452","2014","IT",25400,7.1
"453","2014","LT",11300,6.9
"454","2014","LU",79500,21.5
"455","2014","LV",10300,5.8
"456","2014","MT",17900,7.5
"457","2014","NL",38600,11.7
"458","2014","NO",67400,10.7
"459","2014","PL",10500,10.1
"460","2014","PT",16300,6.6
"461","2014","RO",7000,5.8
"462","2014","SE",40500,5.8
"463","2014","SI",17500,8.1
"464","2014","SK",13600,7.5
"465","2014","UK",31000,8.6
"466","2015","AT",36200,9.4
"467","2015","BE",34200,10.8
"468","2015","BG",5700,8.7
"469","2015","CH",57800,6.4
"470","2015","CY",21000,10.7
"471","2015","CZ",16200,12.3
"472","2015","DE",34400,11.4
"473","2015","DK",45600,9
"474","2015","EE",13400,13.8
"475","2015","EL",17100,9.1
"476","2015","ES",23100,7.5
"477","2015","FI",34200,10.5
"478","2015","FR",31600,7.1
"479","2015","HR",10600,5.8
"480","2015","HU",11100,6.3
"481","2015","IE",51200,13.2
"482","2015","IS",35800,16.4
"483","2015","IT",25600,7.3
"484","2015","LT",11600,7
"485","2015","LU",81000,20.4
"486","2015","LV",10700,5.9
"487","2015","MT",19400,5.8
"488","2015","NL",39200,12.2
"489","2015","NO",68000,10.7
"490","2015","PL",10900,10.2
"491","2015","PT",16600,7
"492","2015","RO",7300,5.9
"493","2015","SE",41900,5.7
"494","2015","SI",17900,8.2
"495","2015","SK",14200,7.6
"496","2015","UK",31500,8.3
"497","2016","AT",36500,9.4
"498","2016","BE",34500,10.8
"499","2016","BG",6000,8.4
"500","2016","CH",58100,6.4
"501","2016","CY",22000,11.3
"502","2016","CZ",16500,12.4
"503","2016","DE",34900,11.4
"504","2016","DK",46300,9.3
"505","2016","EE",13900,15
"506","2016","EL",17100,8.8
"507","2016","ES",23800,7.3
"508","2016","FI",35100,11.1
"509","2016","FR",31800,7.1
